id,title,company_name,location,zipcode,city,state
2726873102,Data Analyst,SmartNews,San Francisco Bay Area,94101,San Francisco,CA
2750538161,Data Analyst,TIMBER,"San Jose, CA",95101,San Jose,CA
2750544897,Data Analyst,Barracuda,"Campbell, CA",95008,Campbell,CA
2724447819,"Data Analyst, User Growth - TikTok US - Tech Services",TikTok,"Mountain View, CA",94040,Mountain View,CA
2723582022,Data Entry Analyst,Kelly,"Sunnyvale, CA",94085,Sunnyvale,CA
2763232693,Data Analyst or Jr. Analyst - High-Tech Firm for RE Team,TORP Group,"Redwood City, CA",94061,Redwood City,CA
2751137965,Data Analyst - PD- Days - Concern: EAP,El Camino Health,"Mountain View, CA",94040,Mountain View,CA
2708158739,Data Analyst,Momentive.ai,"San Mateo, CA",94401,San Mateo,CA
2749790739,Data Analyst,KITE,San Francisco Bay Area,94101,San Francisco,CA
2733722462,Data Analyst,January AI,"Menlo Park, CA",94025,Menlo Park,CA
2755655109,Data Analyst,Mackin Talent,"Sunnyvale, CA",94085,Sunnyvale,CA
2755845162,Data Analyst I,"Intelliswift Software, Inc.","Mountain View, CA",94040,Mountain View,CA
2734420527,Data Analyst,"eHealth, Inc.","Santa Clara, CA",95050,Santa Clara,CA
2741579860,Data Analyst - Fixed Term (12 Months),Informatica,"Redwood City, CA",94061,Redwood City,CA
2754271879,Data Analyst,Mackin Talent,"Sunnyvale, CA",94085,Sunnyvale,CA
2756463452,"Data Analyst, Data Science and Analytics",QuestBridge,"Palo Alto, CA",94301,Palo Alto,CA
2750609327,Data Analyst,Jerry,"Palo Alto, CA",94301,Palo Alto,CA
2702430372,Data Analyst - 0.8 - Days - Concern: EAP,El Camino Health,"Mountain View, CA",94040,Mountain View,CA
2763103121,Data Analyst,Global Pharma Tek,"Mountain View, CA",94040,Mountain View,CA
2639287781,Data Analyst,"Plume Design, Inc","Palo Alto, CA",94301,Palo Alto,CA
2756453399,Data Analyst,Glooko,"Palo Alto, CA",94301,Palo Alto,CA
2721196432,Data Analyst,Enquero,"Milpitas, CA",95035,Milpitas,CA
2754274836,Data Analyst,Mackin Talent,"Sunnyvale, CA",94085,Sunnyvale,CA
2751748882,Data Analyst,ICONMA,"Mountain View, CA",94040,Mountain View,CA
2733260028,System Data Analyst,Wing,"Palo Alto, CA",94301,Palo Alto,CA
2730241527,Data Analyst,Modis,"San Jose, CA",95101,San Jose,CA
2730443168,Energy Data Analyst,Tesla,"San Jose, CA",95101,San Jose,CA
2487436104,Data Analyst,Power Integrations,"San Jose, CA",95101,San Jose,CA
2715113611,Data Analyst I,PRI Global,"Fremont, CA",94536,Fremont,CA
2748401567,(USA) Principal Data Analyst,Walmart,"Sunnyvale, CA",94085,Sunnyvale,CA
